pca_1,pca_2,pca_3,pca_4,pca_5,pca_6
-2.029944493903646,-1.031499119598096,-0.7043675583812393,1.4585830577836727,-0.8508550605195887,-0.44304674538936706
-2.1575417578405096,-3.0723621902673037,-1.7625522935053257,0.7011192506161824,2.221286507391722,-0.48023423900330797
-2.0282998815213658,-1.1306508895898464,-0.8284788146778153,1.4622118075994208,-0.9481942490936912,-0.47718999543357504
-1.8761101661086912,-0.7437342310487302,-0.9128028945809022,1.4044025604925787,-0.7766599129982991,-0.6268270943013471
-1.9558878696883346,-0.7956433465050045,-0.6932369110075352,1.418250651271584,-0.7241362861111317,-0.5074526790416553
-1.863887936961258,-0.2944200914503017,-0.677964770132591,1.5046272143281532,-0.4320295554260818,-0.5185287706950322
-1.8688210207875988,-0.4020629345934018,-0.5918631090332273,1.4050621879977372,-0.4759395794336831,-0.5410444793194715
-1.8169743413197248,-0.4720276646203464,-0.6537575569761724,1.2915166216675653,-0.5545494134958752,-0.6482621063467736
-2.0492660062139567,-0.1843557447447008,-0.43302557337322994,1.5016744286037766,-0.309003499698213,-0.2797099212294216
-1.9975302280292295,0.0016026645859939625,-0.3863002759153885,1.477669670007278,-0.19528822531307508,-0.3115085362405414
-1.9304929632364354,0.08404172999153237,-0.4034212947184178,1.3926969961544604,-0.17022566024155356,-0.4015559214528748
-1.883113549863269,0.06538747821789016,-0.49787099760657594,1.3340430826101008,-0.22352545759273118,-0.48762230176739046
-1.909825190484305,0.1306033888126969,-0.47177698814082614,1.4197105044848655,-0.16531473436042296,-0.4203228451957895
-2.0138153472138285,0.2453357372056178,-0.20217924386301553,1.561758969540763,0.015837778183076686,-0.20719623528462952
-1.9331585021178774,0.40025236319600793,-0.26456610703955336,1.5122048310158736,0.07008558440281819,-0.3009366743381764
-1.8802251696942858,0.5020229320562712,-0.3836891279277852,1.51582103596332,0.0841710185950835,-0.366414668329326
-1.9252193676791773,0.5940699095043125,-0.4254961464240045,1.6867522176566079,0.14695148325491586,-0.2639412606710167
-2.0694888196872876,0.4700356188956806,-0.3319822948602192,1.8680513639976584,0.14208718036956405,-0.05503429544277463
-2.0341972864537907,0.4844099868154733,-0.45442899210760684,1.8603881961789828,0.10561140507042555,-0.11585391688854312
-2.0163909434742817,0.6235474983726513,-0.5116672286411468,1.9393090206661536,0.17332957278612104,-0.10371089005241152
-1.9554063082282112,0.6861343515698901,-0.561383366790229,1.8748519809615,0.17919805449241075,-0.18877415903301548
-2.0042838010294224,0.5299343928133359,-0.49375868760910363,1.828387911630717,0.10912008554076666,-0.15813373632736866
-2.0476834652534,0.4671632494305018,-0.4821247332123657,1.88539244646645,0.08777958291844233,-0.09858902589251632
-1.9869318123023418,0.6094781234122287,-0.5820424942205251,1.8958086442800874,0.13116512216223536,-0.16011807300818354
-1.9494956222566342,0.6467112357723779,-0.661723253448189,1.8770762473837599,0.12033039109319035,-0.21578432131464795
-1.9326366459392008,0.618148544194197,-0.6405931525773956,1.8038068780401872,0.10113814146090148,-0.25738146488716274
-2.0963977962913187,0.6715803953512498,-0.41439149221412536,2.0618837797093876,0.2521074903399442,0.039721371236172774
-2.012154613800436,0.7594676816396737,-0.4181057860872841,1.9227939254816426,0.2770885338052225,-0.08477658637579807
-2.023526347659849,0.7278685348436494,-0.4532994698326319,1.9519008287419204,0.2517816532974519,-0.07280029849945621
-1.9933409652187344,0.6869438151286034,-0.5811536451725715,1.9380276217828623,0.18148670031521358,-0.13484637282860998
-2.0679805504845508,0.46467203239041865,-0.5769863474579717,1.9700064805424597,0.06686856937213347,-0.07006537517768735
-2.1686822696175265,-1.506777657692287,-1.637811916244049,1.2029769695215626,3.173907617767606,-0.12984291669127807
-1.9915669319235487,0.5632869557631466,-0.6660352285414362,1.9122574028253259,0.0796113984255564,-0.1726861386565259
